antecedent,consequent,support,confidence,lift
yogurt,other vegetables,0.0434,0.3112,1.6085
hard cheese,whole milk,0.0101,0.4108,1.6077
chicken,whole milk,0.0176,0.41,1.6044
berries,other vegetables,0.0103,0.3089,1.5963
white bread,whole milk,0.0171,0.4058,1.5881
beef,whole milk,0.0213,0.405,1.5852
tropical fruit,whole milk,0.0423,0.4031,1.5776
oil,whole milk,0.0113,0.4022,1.574
yogurt,whole milk,0.056,0.4016,1.5717
chocolate,soda,0.0135,0.2725,1.5629
pip fruit,whole milk,0.0301,0.3978,1.557
onions,whole milk,0.0121,0.3902,1.527
hygiene articles,whole milk,0.0128,0.3889,1.522
brown bread,whole milk,0.0252,0.3887,1.5213
other vegetables,whole milk,0.0748,0.3868,1.5136
whole milk,other vegetables,0.0748,0.2929,1.5136
"whole milk, yogurt",rolls/buns,0.0156,0.2777,1.5096
pork,whole milk,0.0222,0.3845,1.5047
fruit/vegetable juice,other vegetables,0.021,0.2911,1.5047
bottled water,soda,0.029,0.2622,1.5036
"soda, yogurt",whole milk,0.0105,0.3829,1.4985
brown bread,other vegetables,0.0187,0.2884,1.4905
sausage,soda,0.0243,0.2587,1.4833
sausage,other vegetables,0.0269,0.2868,1.4822
"other vegetables, sausage",whole milk,0.0102,0.3774,1.4768
long life bakery product,other vegetables,0.0107,0.2853,1.4746
napkins,whole milk,0.0197,0.3767,1.4743
salty snack,other vegetables,0.0108,0.2849,1.4726
pastry,whole milk,0.0332,0.3737,1.4626
fruit/vegetable juice,soda,0.0184,0.2546,1.4599
dessert,whole milk,0.0137,0.3699,1.4475
frankfurter,other vegetables,0.0165,0.2793,1.4435
citrus fruit,whole milk,0.0305,0.3686,1.4424
fruit/vegetable juice,whole milk,0.0266,0.3685,1.4422
"other vegetables, yogurt",rolls/buns,0.0115,0.2646,1.4388
napkins,other vegetables,0.0144,0.2757,1.425
long life bakery product,whole milk,0.0135,0.3614,1.4144
"root vegetables, whole milk",rolls/buns,0.0127,0.2599,1.4129
beef,rolls/buns,0.0136,0.2597,1.4119
"tropical fruit, whole milk",rolls/buns,0.011,0.2596,1.4115
"other vegetables, root vegetables",rolls/buns,0.0122,0.2575,1.4
berries,whole milk,0.0118,0.3547,1.3883
margarine,rolls/buns,0.0147,0.2517,1.3686
frankfurter,whole milk,0.0205,0.3483,1.363
waffles,other vegetables,0.0101,0.2619,1.3536
newspapers,whole milk,0.0274,0.3427,1.3411
chocolate,other vegetables,0.0127,0.2561,1.3238
chocolate,whole milk,0.0167,0.3361,1.3152
pastry,other vegetables,0.0226,0.2537,1.3112
waffles,whole milk,0.0127,0.3307,1.2942
coffee,whole milk,0.0187,0.3222,1.2611
sausage,whole milk,0.0299,0.3182,1.2453
bottled water,whole milk,0.0344,0.3109,1.2169
rolls/buns,whole milk,0.0566,0.3079,1.205
salty snack,whole milk,0.0112,0.2957,1.1573
bottled beer,whole milk,0.0204,0.2538,0.9932
